Episode Number,Episode Name,Originally Aired
1949 x 23,Dough for the Do-Do,1949-09-02
1949 x 24,Fast and Furry-ous,1949-09-16
1949 x 25,Each Dawn I Crow,1949-09-23
1949 x 26,Frigid Hare,1949-10-07
1949 x 27,Swallow the Leader,1949-10-14
1949 x 28,"Bye, Bye Bluebeard",1949-10-21
1949 x 29,For Scent-imental Reasons,1949-11-12
1949 x 30,Hippety Hopper,1949-11-19
1949 x 31,Which Is Witch,1949-12-03
1949 x 32,Bear Feat,1949-12-10
1949 x 33,A Ham in a Role,1949-12-13
1949 x 34,Rabbit Hood,1949-12-24
1950 x 1,Home Tweet Home,1950-01-14
1950 x 2,Hurdy-Gurdy Hare,1950-01-21
1950 x 3,Boobs in the Woods,1950-01-28
1950 x 4,Mutiny on the Bunny,1950-02-11
1950 x 5,The Lion's Busy,1950-02-18
1950 x 6,The Scarlet Pumpernickel,1950-03-04
1950 x 7,Homeless Hare,1950-03-11
1950 x 8,Strife with Father,1950-04-01
1950 x 9,The Hypo-Chondri-Cat,1950-04-15
1950 x 10,Big House Bunny,1950-04-22
1950 x 11,The Leghorn Blows at Midnight,1950-05-06
1950 x 12,His Bitter Half,1950-05-20
1950 x 13,An Egg Scramble,1950-05-27
1950 x 14,8 Ball Bunny,1950-06-08
1950 x 15,What's Up Doc?,1950-06-17
1950 x 16,All A Bir-r-r-d,1950-06-24
1950 x 17,It's Hummer Time,1950-07-22
1950 x 18,Golden Yeggs,1950-08-05
1950 x 19,Hillbilly Hare,1950-08-12
1950 x 20,Dog Gone South,1950-08-26
1950 x 21,The Ducksters,1950-09-02
1950 x 22,A Fractured Leghorn,1950-09-16
1950 x 23,Bunker Hill Bunny,1950-09-23
1950 x 24,Canary Row,1950-10-07
1950 x 25,Stooge for a Mouse,1950-10-21
1950 x 26,Pop 'im Pop!,1950-10-28
1950 x 27,Bushy Hare,1950-11-18
1950 x 28,Caveman Inki,1950-11-25
1950 x 29,Dog Collared,1950-12-02
1950 x 30,Rabbit of Seville,1950-12-16
1950 x 31,Two's a Crowd,1950-12-30
1951 x 1,Hare We Go,1951-01-06
1951 x 2,A Fox In A Fix,1951-01-20
1951 x 3,Canned Feud,1951-02-03
1951 x 4,Rabbit Every Monday,1951-02-10
1951 x 5,Putty Tat Trouble,1951-02-24
1951 x 6,Corn Plastered,1951-03-03
1951 x 7,Bunny Hugged,1951-03-10
1951 x 8,Scent-imental Romeo,1951-03-24
1951 x 9,A Bone for a Bone,1951-04-07
1951 x 10,The Fair-Haired Hare,1951-04-14
1951 x 11,A Hound for Trouble,1951-04-28
1951 x 12,Early to Bet,1951-05-12
1951 x 13,Rabbit Fire,1951-05-19
1951 x 14,Room and Bird,1951-06-02
1951 x 15,Chow Hound,1951-06-16
1951 x 16,French Rarebit,1951-06-30
1951 x 17,The Wearing of the Grin,1951-07-04
1951 x 18,Leghorn Swoggled,1951-07-28
1951 x 19,His Hare Raising Tale,1951-08-11
1951 x 20,Cheese Chasers,1951-08-25
1951 x 21,Lovelorn Leghorn,1951-09-08
1951 x 22,Tweety's S.O.S.,1951-09-22
1951 x 23,Ballot Box Bunny,1951-10-06
1951 x 24,A Bear for Punishment,1951-10-20
1951 x 25,Sleepy Time Possum,1951-11-03
1951 x 26,Drip-Along Daffy,1951-11-17
1951 x 27,Big Top Bunny,1951-12-01
1951 x 28,Tweet Tweet Tweety,1951-12-15
1951 x 29,The Prize Pest,1951-12-22
1952 x 1,Who's Kitten Who?,1952-01-05
1952 x 2,Operation: Rabbit,1952-01-19
1952 x 3,Feed the Kitty,1952-02-02
1952 x 4,Gift Wrapped,1952-02-16
1952 x 5,Foxy by Proxy,1952-02-23
1952 x 6,Thumb Fun,1952-03-01
1952 x 7,14 Carrot Rabbit,1952-03-15
1952 x 8,Beep Beep,1952-03-24
1952 x 9,Little Beau Pepe,1952-03-29
1952 x 10,Kiddin' the Kitten,1952-04-05
1952 x 11,"Water, Water Every Hare",1952-04-19
1952 x 12,Going! Going! Gosh!,1952-04-23
1952 x 13,Little Red Rodent Hood,1952-05-03
1952 x 14,Sock a Doodle Do,1952-05-10
1952 x 15,The Hasty Hare,1952-06-07
1952 x 16,Ain't She Tweet,1952-06-21
1952 x 17,Oily Hare,1952-06-26
1952 x 18,The Turn-Tale Wolf,1952-06-28
1952 x 19,Cracked Quack,1952-07-05
1952 x 20,Hoppy-Go-Lucky,1952-08-09
1952 x 21,A Bird in a Guilty Cage,1952-08-30
1952 x 22,Mouse-Warming,1952-09-08
1952 x 23,Rabbit Seasoning,1952-09-20
1952 x 24,The EGGcited Rooster,1952-10-04
1952 x 25,Tree for Two,1952-10-18
1952 x 26,The Super Snooper,1952-11-11
1952 x 27,Rabbit's Kin,1952-11-19
1952 x 28,Terrier-Stricken,1952-11-29
1952 x 29,Fool Coverage,1952-12-13
1952 x 30,Hare Lift,1952-12-20
1953 x 1,Don't Give Up the Sheep,1953-01-03
1953 x 2,Snow Business,1953-01-17
1953 x 3,A Mouse Divided,1953-01-21
1953 x 4,Forward March Hare,1953-02-14
1953 x 5,Kiss Me Cat,1953-02-21
1953 x 6,Duck Amuck,1953-02-28
1953 x 7,Upswept Hare,1953-03-14
1953 x 8,A Peck O' Trouble,1953-03-28
1953 x 9,Fowl Weather,1953-04-04
1953 x 10,Muscle Tussle,1953-04-18
1953 x 11,Southern Fried Rabbit,1953-05-02
1953 x 12,Ant Pasted,1953-05-09
1953 x 13,Much Ado About Nutting,1953-05-23
1953 x 14,There Auto Be A Law,1953-06-06
1953 x 15,Hare Trimmed,1953-06-20
1953 x 16,Tom Tom Tomcat,1953-06-27
1953 x 17,Wild Over You,1953-07-11
1953 x 18,Duck Dodgers in the 24½th Century,1953-07-25
1953 x 19,Bully for Bugs,1953-08-08
1953 x 20,Plop Goes the Weasel,1953-08-22
1953 x 21,Cat-Tails For Two,1953-08-29
1953 x 22,Streetcat Named Sylvester,1953-09-05
1953 x 23,Zipping Along,1953-09-14
1953 x 24,"Duck! Rabbit, Duck!",1953-10-03
1953 x 25,Easy Peckin's,1953-10-17
1953 x 26,Catty Cornered,1953-10-31
1953 x 27,Of Rice and Hen,1953-11-14
1953 x 28,Cats A-Weigh,1953-11-28
1953 x 29,Robot Rabbit,1953-12-12
1953 x 30,Punch Trunk,1953-12-19
1954 x 1,Dog Pounded,1954-01-02
1954 x 2,Captain Hareblower,1954-01-16
1954 x 3,I Gopher You,1954-01-30
1954 x 4,Feline Frame-up,1954-02-13
1954 x 5,Wild Wife,1954-02-20
1954 x 6,No Barking,1954-02-27
1954 x 7,Bugs and Thugs,1954-03-13
1954 x 8,The Cats Bah,1954-03-20
1954 x 9,Design for Leaving,1954-03-27
1954 x 10,Bell Hoppy,1954-04-17
1954 x 11,No Parking Hare,1954-05-01
1954 x 12,Dr. Jerkyl's Hide,1954-05-08
1954 x 13,Claws For Alarm,1954-05-22
1954 x 14,Little Boy Boo,1954-06-05
1954 x 15,Devil May Hare,1954-06-19
1954 x 16,Muzzle Tough,1954-06-26
1954 x 17,The Oily American,1954-07-10
1954 x 18,Bewitched Bunny,1954-07-24
1954 x 19,Satan's Waitin',1954-08-07
1954 x 20,Stop! Look! and Hasten!,1954-08-14
1954 x 21,Yankee Doodle Bugs,1954-08-28
1954 x 22,Gone Batty,1954-09-04
1954 x 23,Goo Goo Goliath,1954-09-18
1954 x 24,By Word of Mouse,1954-10-02
1954 x 25,From A to Z-Z-Z-Z,1954-10-16
1954 x 26,Quack Shot,1954-10-30
1954 x 27,Lumber Jack-Rabbit,1954-11-13
1954 x 28,My Little Duckaroo,1954-11-27
1954 x 29,Sheep Ahoy,1954-12-11
1954 x 30,Baby Buggy Bunny,1954-12-18
1955 x 1,Pizzicato Pussycat,1955-01-01
1955 x 2,Feather Dusted,1955-01-15
1955 x 3,Pests for Guests,1955-01-29
1955 x 4,Beanstalk Bunny,1955-02-12
1955 x 5,All Fowled Up,1955-02-19
1955 x 6,Stork Naked,1955-02-26
1955 x 7,Lighthouse Mouse,1955-03-12
1955 x 8,Sahara Hare,1955-03-26
1955 x 9,Sandy Claws,1955-04-02
1955 x 10,The Hole Idea,1955-04-06
1955 x 11,Ready.. Set.. Zoom!,1955-04-30
1955 x 12,Hare Brush,1955-05-07
1955 x 13,Past Perfumance,1955-05-21
1955 x 14,Tweety's Circus,1955-06-04
1955 x 15,Rabbit Rampage,1955-06-11
1955 x 16,Lumber Jerks,1955-06-25
1955 x 17,This is a Life?,1955-07-09
1955 x 18,Double or Mutton,1955-07-23
1955 x 19,Jumpin' Jupiter,1955-08-06
1955 x 20,A Kiddies Kitty,1955-08-20
1955 x 21,Hyde and Hare,1955-08-27
1955 x 22,Dime to Retire,1955-09-03
1955 x 23,Speedy Gonzales,1955-09-17
1955 x 24,Knight-Mare Hare,1955-10-01
1955 x 25,Two Scent's Worth,1955-10-15
1955 x 26,Red Riding Hoodwinked,1955-10-29
1955 x 27,Roman Legion-Hare,1955-11-12
1955 x 28,Heir-Conditioned,1955-11-26
1955 x 29,Guided Muscle,1955-12-10
1955 x 30,Pappy's Puppy,1955-12-17
1955 x 31,One Froggy Evening,1955-12-31
1956 x 1,Bugs' Bonnets,1956-01-14
1956 x 2,Too Hop to Handle,1956-01-28
1956 x 3,Weasel Stop,1956-02-11
1956 x 4,The High and the Flighty,1956-02-18
1956 x 5,Broom-Stick Bunny,1956-02-25
1956 x 6,Rocket Squad,1956-03-10
1956 x 7,Tweet and Sour,1956-03-24
1956 x 8,Heaven Scent,1956-03-31
1956 x 9,Mixed Master,1956-04-14
1956 x 10,Rabbitson Crusoe,1956-04-28
1956 x 11,Gee Whiz-z-z-z-z-z-z,1956-05-05
1956 x 12,Tree Cornered Tweety,1956-05-19
1956 x 13,The Unexpected Pest,1956-06-02
1956 x 14,Napoleon Bunny-Part,1956-06-16
1956 x 15,Tugboat Granny,1956-06-23
1956 x 16,Stupor Duck,1956-07-17
1956 x 17,Barbary-Coast Bunny,1956-07-21
1956 x 18,Rocket-Bye Baby,1956-08-04
1956 x 19,Half-Fare Hare,1956-08-18
1956 x 20,Raw! Raw! Rooster,1956-08-25
1956 x 21,Slap-hoppy Mouse,1956-09-01
1956 x 22,A Star is Bored,1956-09-15
1956 x 23,"Deduce, You Say",1956-09-29
1956 x 24,Yankee Dood It,1956-10-13
1956 x 25,Wideo Wabbit,1956-10-27
1956 x 26,There They GO-GO-GO!,1956-11-10
1956 x 27,Two Crows From Tacos,1956-11-24
1956 x 28,The Honey-Mousers,1956-12-08
1956 x 29,To Hare is Human,1956-12-15
1957 x 1,Three Little Bops,1957-01-05
1957 x 2,Tweet Zoo,1957-01-12
1957 x 3,Scrambled Aches,1957-01-26
1957 x 4,Ali Baba Bunny,1957-02-09
1957 x 5,Go Fly a Kit,1957-02-23
1957 x 6,Bedevilled Rabbit,1957-04-13
1957 x 7,Boyhood Daze,1957-04-20
1957 x 8,"Cheese It, the Cat!",1957-05-04
1957 x 9,Fox Terror,1957-05-11
1957 x 10,Tweety and the Beanstalk,1957-05-16
1957 x 11,Piker's Peak,1957-05-25
1957 x 12,Steal Wool,1957-06-08
1957 x 13,Boston Quackie,1957-06-22
1957 x 14,"What's Opera, Doc?",1957-07-06
1957 x 15,Tabasco Road,1957-07-20
1957 x 16,Birds Anonymous,1957-08-10
1957 x 17,Ducking the Devil,1957-08-17
1957 x 18,Bugsy and Mugsy,1957-08-31
1957 x 19,Zoom and Bored,1957-09-04
1957 x 20,Greedy for Tweety,1957-09-28
1957 x 21,Touche and Go,1957-10-12
1957 x 22,Show Biz Bugs,1957-11-02
1957 x 23,Mouse-taken Identity,1957-11-10
1957 x 24,Gonzales' Tamales,1957-11-30
1957 x 25,Rabbit Romeo,1957-12-14
1958 x 1,Don't Axe Me,1958-01-04
1958 x 2,Tortilla Flaps,1958-01-18
1958 x 3,Hare-Less Wolf,1958-02-01
1958 x 4,A Pizza Tweety Pie,1958-02-22
1958 x 5,Robin Hood Daffy,1958-03-08
1958 x 6,Hare-way to the Stars,1958-03-29
1958 x 7,"Whoa, Be-Gone!",1958-04-12
1958 x 8,A Waggily Tale,1958-04-26
1958 x 9,Feather Bluster,1958-05-10
1958 x 10,"Now, Hare This",1958-05-31
1958 x 11,To Itch His Own,1958-06-28
1958 x 12,Dog Tales,1958-07-26
1958 x 13,Knighty Knight Bugs,1958-08-23
1958 x 14,Weasel While you Work,1958-09-06
1958 x 15,A Bird in a Bonnet,1958-09-27
1958 x 16,"Hook, Line, and Stinker",1958-10-11
1958 x 17,Pre-Hysterical Hare,1958-11-01
1958 x 18,Gopher Broke,1958-11-15
1958 x 19,Hip Hip- Hurry!,1958-12-06
1958 x 20,Cat Feud,1958-12-20
1959 x 1,Baton Bunny,1959-01-10
1959 x 2,Mouse-Placed Kitten,1959-01-24
1959 x 3,China Jones,1959-02-14
1959 x 4,Hare-abian Nights,1959-02-28
1959 x 5,Trick or Tweet,1959-03-21
1959 x 6,The Mouse That Jack Built,1959-04-04
1959 x 7,Apes of Wrath,1959-04-18
1959 x 8,Hot Rod and Reel,1959-05-09
1959 x 9,A Mutt in a Rutt,1959-05-23
1959 x 10,Backwoods Bunny,1959-06-13
1959 x 11,Really Scent,1959-06-27
1959 x 12,Mexicali Shmoes,1959-07-04
1959 x 13,Tweet and Lovely,1959-07-18
1959 x 14,Wild and Woolly Hare,1959-08-01
1959 x 15,Cat's Paw,1959-08-15
1959 x 16,"Here Today, Gone Tamale",1959-08-29
1959 x 17,Bonanza Bunny,1959-09-05
1959 x 18,A Broken Leghorn,1959-09-26
1959 x 19,Wild About Hurry,1959-10-10
1959 x 20,A Witch's Tangled Hare,1959-10-31
1959 x 21,Unnatural History,1959-11-14
1959 x 22,Tweet Dreams,1959-12-05
1959 x 23,People are Bunny,1959-12-19
1960 x 1,The Fastest With the Mostest,1960-01-19
1960 x 2,West of the Pesos,1960-01-23
1960 x 3,Horse Hare,1960-02-03
1960 x 4,Wild Wild World,1960-02-27
1960 x 5,Goldimouse and the Three Cats,1960-03-15
1960 x 6,Person to Bunny,1960-04-02
1960 x 7,Who Scent You?,1960-04-23
1960 x 8,Hyde and Go Tweet,1960-05-14
1960 x 9,Rabbit's Feat,1960-06-04
1960 x 10,Crockett-Doodle-Do,1960-06-25
1960 x 11,Mouse and Garden,1960-07-16
1960 x 12,"Ready, Woolen and Able",1960-07-30
1960 x 13,Mice Follies,1960-08-20
1960 x 14,From Hare to Heir,1960-09-03
1960 x 15,The Dixie Fryer,1960-09-24
1960 x 16,Hopalong Casualty,1960-10-08
1960 x 17,Trip for Tat,1960-10-29
1960 x 18,Dog Gone People,1960-11-12
1960 x 19,High Note,1960-12-03
1960 x 20,Lighter Than Hare,1960-12-17
1961 x 1,Cannery Woe,1961-01-07
1961 x 2,Zip 'n Snort,1961-01-21
1961 x 3,Hoppy Daze,1961-02-11
1961 x 4,The Mouse On 57th Street,1961-02-25
1961 x 5,Strangled Eggs,1961-03-18
1961 x 6,Birds of a Father,1961-04-01
1961 x 7,D'fightin' Ones,1961-04-22
1961 x 8,The Abominable Snow Rabbit,1961-05-20
1961 x 9,Lickety-Splat,1961-06-20
1961 x 10,A Scent of the Matterhorn,1961-06-24
1961 x 11,Rebel Without Claws,1961-07-15
1961 x 12,Compressed Hare,1961-07-29
1961 x 13,The Pied Piper of Guadalupe,1961-08-19
1961 x 14,Prince Varmint,1961-09-02
1961 x 15,Daffy's Inn Trouble,1961-09-23
1961 x 16,What's My Lion?,1961-10-21
1961 x 17,Beep Prepared,1961-11-11
1961 x 18,The Last Hungry Cat,1961-12-02
1961 x 19,Nelly's Folly,1961-12-30
1962 x 1,Wet Hare,1962-01-20
1962 x 2,A Sheep in the Deep,1962-02-10
1962 x 3,Fish and Slips,1962-03-10
1962 x 4,Quackodile Tears,1962-03-31
1962 x 5,Crows' Feat,1962-04-21
1962 x 6,Mexican Boarders,1962-05-12
1962 x 7,Adventures of the Road Runner,1962-06-02
1962 x 8,Bill of Hare,1962-06-09
1962 x 9,Zoom at the Top,1962-06-30
1962 x 10,The Slick Chick,1962-07-21
1962 x 11,Louvre Come Back to Me,1962-08-18
1962 x 12,Honey's Money,1962-09-01
1962 x 13,The Jet Cage,1962-09-22
1962 x 14,Mother was a Rooster,1962-10-20
1962 x 15,Good Noose,1962-11-10
1962 x 16,Shishkabugs,1962-12-08
1962 x 17,Martian Through Georgia,1962-12-29
1963 x 1,I was a Teenage Thumb,1963-01-19
1963 x 2,Devil's Feud Cake,1963-02-09
1963 x 3,Fast Buck Duck,1963-03-09
1963 x 4,The Million Hare,1963-04-06
1963 x 5,Mexican Cat Dance,1963-04-20
1963 x 6,Now Hear This,1963-04-27
1963 x 7,Woolen Under Where,1963-05-11
1963 x 8,Hare-breadth Hurry,1963-06-08
1963 x 9,Banty Raids,1963-06-29
1963 x 10,Philbert,1963-07-18
1963 x 11,Chili Weather,1963-08-17
1963 x 12,The Unmentionables,1963-09-07
1963 x 13,Aqua Duck,1963-09-28
1963 x 14,Mad as a Mars Hare,1963-10-19
1963 x 15,Claws in the Lease,1963-11-09
1963 x 16,Transylvania 6-5000,1963-11-30
1963 x 17,To Beep or Not to Beep,1963-12-28
1964 x 1,Dumb Patrol,1964-01-18
1964 x 2,A Message To Gracias,1964-02-08
1964 x 3,Bartholomew Versus The Wheel,1964-02-29
1964 x 4,Freudy Cat,1964-03-14
1964 x 5,Dr. Devil and Mr. Hare,1964-03-28
1964 x 6,Nuts and Volts,1964-04-25
1964 x 7,The Iceman Ducketh,1964-05-16
1964 x 8,War and Pieces,1964-06-06
1964 x 9,Hawaiian Aye Aye,1964-06-27
1964 x 10,False Hare,1964-07-18
1964 x 11,Senorella And The Glass Huarache,1964-08-01
1964 x 12,Pancho's Hideaway,1964-10-24
1964 x 13,Road to Andalay,1964-12-26
1965 x 1,Zip Zip Hooray!,1965-01-01
1965 x 2,Roadrunner A Go-Go,1965-01-02
1965 x 3,It's Nice to Have a Mouse Around the House,1965-01-16
1965 x 4,Cats and Bruises,1965-01-30
1965 x 5,The Wild Chase,1965-02-27
1965 x 6,Moby Duck,1965-03-27
1965 x 7,Assault and Peppered,1965-04-24
1965 x 8,Well Worn Daffy,1965-05-22
1965 x 9,Suppressed Duck,1965-06-26
1965 x 10,Corn on the Cop,1965-07-24
1965 x 11,Rushing Roulette,1965-07-31
1965 x 12,"Run, Run Sweet Road Runner",1965-08-21
1965 x 13,Tease for Two,1965-08-28
1965 x 14,Tired and Feathered,1965-09-18
1965 x 15,Boulder Wham!,1965-10-09
1965 x 16,Chili Corn Corny,1965-10-23
1965 x 17,Just Plane Beep,1965-10-30
1965 x 18,Hairied and Hurried,1965-11-13
1965 x 19,Go Go Amigo,1965-11-20
1965 x 20,Highway Runnery,1965-12-11
1965 x 21,Chaser on the Rocks,1965-12-25
1966 x 1,The Astroduck,1966-01-01
1966 x 2,Shot and Bothered,1966-01-08
1966 x 3,Out and Out Rout,1966-01-29
1966 x 4,Mucho Locos,1966-02-05
1966 x 5,The Solid Tin Coyote,1966-02-19
1966 x 6,Mexican Mousepiece,1966-02-26
1966 x 7,Clippety Clobbered,1966-03-12
1966 x 8,Daffy Rents,1966-03-26
1966 x 9,A-Haunting We Will Go,1966-04-16
1966 x 10,Snow Excuse,1966-05-21
1966 x 11,A Squeak in the Deep,1966-07-19
1966 x 12,Feather Finger,1966-08-20
1966 x 13,Swing Ding Amigo,1966-09-17
1966 x 14,Sugar and Spies,1966-11-05
1966 x 15,A Taste of Catnip,1966-12-03
1967 x 1,Daffy's Diner,1967-01-21
1967 x 2,Quacker Tracker,1967-04-29
1967 x 3,The Music Mice-Tro,1967-05-27
1967 x 4,The Spy Swatter,1967-06-24
1967 x 5,Speedy Ghost to Town,1967-07-29
1967 x 6,Rodent to Stardom,1967-09-23
1967 x 7,Go Away Stowaway,1967-09-30
1967 x 8,Cool Cat,1967-10-14
1967 x 9,Merlin the Magic Mouse,1967-11-18
1967 x 10,Fiesta Fiasco,1967-12-09
1968 x 1,Hocus Pocus Powwow,1968-01-13
1968 x 2,Norman Normal,1968-02-03
1968 x 3,Big Game Haunt,1968-02-10
1968 x 4,Skyscraper Caper,1968-03-09
1968 x 5,Hippydrome Tiger,1968-03-30
1968 x 6,Feud with a Dude,1968-05-25
1968 x 7,The Door,1968-06-01
1968 x 8,See Ya Later Gladiator,1968-06-29
1968 x 9,3 Ring Wing-ding,1968-08-24
1968 x 10,Flying Circus,1968-10-12
1968 x 11,We Rob Carrot Patches,1968-11-23
1968 x 12,Chimp & Zee,1968-11-30
1969 x 1,Fistic Mystic,1969-03-29
1969 x 2,Rabbit Stew And Rabbits Too!,1969-06-07
1969 x 3,Shamrock and Roll,1969-06-28
1969 x 4,Bugged by a Bee,1969-07-26
1969 x 5,Injun Trouble,1969-09-20
1969 x 6,The Great Carrot-Train Robbery,1969-11-25
1972 x 1,Daffy Duck and Porky Pig Meet the Groovie Goolies,1972-01-01
1976 x 1,Carnival of the Animals,1976-11-22
1977 x 1,Bugs Bunny's Easter Funnies,1977-04-07
1977 x 2,Bugs Bunny in Space,1977-09-01
1978 x 1,A Connecticut Rabbit in King Arthur's Court,1978-02-01
1978 x 2,Bugs Bunny's Howl-Oween Special,1978-10-26
1978 x 3,How Bugs Bunny Won The West,1978-11-15
1979 x 1,Bugs Bunny's Valentine,1979-02-14
1979 x 2,The Bugs Bunny Mother's Day Special,1979-05-12
1979 x 3,Bugs Bunny's Thanksgiving Diet,1979-11-15
1979 x 4,Freeze Frame,1979-11-27
1979 x 5,Bugs Bunny's Looney Christmas Tales,1979-11-27
1979 x 6,Fright Before Christmas,1979-11-27
1979 x 7,Bugs Bunny's Christmas Carol,1979-11-27
1980 x 1,Daffy Duck's Easter Special,1980-04-01
1980 x 2,The Chocolate Chase,1980-04-01
1980 x 3,Portrait of the Artist As A Young Bunny,1980-05-21
1980 x 4,Spaced -Out- Bunny,1980-05-21
1980 x 5,Soup or Sonic,1980-05-21
1980 x 6,Bugs Bunny's Bustin' Out All Over,1980-05-21
1980 x 7,The Bugs Bunny Mystery Special,1980-10-15
1980 x 8,Daffy Duck's Thanks-For-Giving Special,1980-11-20
1980 x 9,Duck Dodgers And The Return Of The 24 ½th Century,1980-12-01
1981 x 1,Bugs Bunny: All American Hero,1981-05-04
1982 x 1,Bugs Bunny's Mad World of Television,1982-01-11
1986 x 1,Bugs Bunny/Looney Tunes 50th Anniversary Special,1986-01-14
1987 x 1,The Duxorcist,1987-11-20
1988 x 1,The Night Of The Living Duck,1988-09-23
1988 x 2,Bugs vs. Daffy: Battle of the Music Video Stars,1988-10-21
1989 x 1,Bugs Bunny's Wild World of Sports,1989-02-15
1990 x 1,"Happy Birthday, Bugs!: 50 Looney Years",1990-05-09
1991 x 1,Box Office Bunny,1991-02-11
1991 x 2,Bugs Bunny's Overtures To Disaster,1991-04-17
1992 x 1,Bugs Bunny's Creature Features,1992-02-01
1992 x 2,Invasion of the Bunny Snatchers,1992-08-25
1994 x 1,Chariots of Fur,1994-12-21
1995 x 1,Carrotblanca,1995-08-25
1995 x 2,Another Froggy Evening,1995-10-06
1996 x 1,Marvin The Martian in the Third Dimension,1996-06-01
1996 x 2,Superior Duck,1996-08-23
1997 x 1,From Hare To Eternity,1997-01-01
1997 x 2,Pullet Surprise,1997-03-26
1997 x 3,Blooper Bunny,1997-06-13
1997 x 4,Father of the Bird,1997-11-14
2000 x 1,Little Go Beep,2000-11-06
2003 x 1,Whizzard of Ow,2003-11-01
2003 x 2,Museum Scream,2003-11-14
2004 x 1,Daffy Duck for President,2004-11-02
2005 x 1,Attack of the Drones,2005-02-08
2005 x 2,Hare And Loathing In Las Vegas,2005-02-08
2005 x 3,Cock-A-Doodle Duel,2005-02-08
2005 x 4,My Generation G...G...Gap,2005-02-08
2006 x 1,The William Tell Overture,2006-11-14
2010 x 1,Rabid Rider,2010-12-12
2010 x 2,Coyote Falls,2010-07-30
2010 x 3,Fur of Flying,2010-09-24
2011 x 1,I Tawt I Taw a Puddy Tat,2011-11-18
2012 x 1,Daffy's Rhapsody,2012-02-10
2014 x 1,Flash in the Pain,2014-06-10
