Episode Number,Episode Name,Originally Aired
1936 x 9,I'm a Big Shot Now,1936-04-11
1936 x 10,Westward Whoa,1936-04-25
1936 x 11,Plane Dippy,1936-04-30
1936 x 12,Let It Be Me,1936-05-02
1936 x 13,I'd Love to Take Orders from You,1936-05-16
1936 x 14,Fish Tales,1936-05-23
1936 x 15,Bingo Crosbyana,1936-05-30
1936 x 16,Shanghaied Shipmates,1936-06-20
1936 x 17,When I Yoo Hoo,1936-06-27
1936 x 18,Porky's Pet,1936-07-11
1936 x 19,I Love to Singa,1936-07-18
1936 x 20,Porky the Rain-Maker,1936-08-01
1936 x 21,Sunday Go to Meetin' Time,1936-08-08
1936 x 22,Porky's Poultry Plant,1936-08-22
1936 x 23,At Your Service Madame,1936-08-29
1936 x 24,Porky's Moving Day,1936-09-12
1936 x 25,Toy Town Hall,1936-09-19
1936 x 26,Milk and Money,1936-10-03
1936 x 27,Boulevardier from the Bronx,1936-10-10
1936 x 28,Don't Look Now,1936-11-07
1936 x 29,Little Beau Porky,1936-11-14
1936 x 30,The CooCoo Nut Grove,1936-11-28
1936 x 31,The Village Smithy,1936-12-05
1936 x 32,Porky in the North Woods,1936-12-19
1937 x 1,He Was Her Man,1937-01-02
1937 x 2,Porky the Wrestler,1937-01-09
1937 x 3,Pigs Is Pigs,1937-01-30
1937 x 4,Porky's Road Race,1937-02-06
1937 x 5,Picador Porky,1937-02-27
1937 x 6,I Only Have Eyes for You,1937-03-06
1937 x 7,The Fella with a Fiddle,1937-03-27
1937 x 8,Porky's Romance,1937-04-03
1937 x 9,She Was an Acrobat's Daughter,1937-04-10
1937 x 10,Porky's Duck Hunt,1937-04-17
1937 x 11,Ain't We Got Fun,1937-05-01
1937 x 12,Porky and Gabby,1937-05-15
1937 x 13,Clean Pastures,1937-05-22
1937 x 14,Uncle Tom's Bungalow,1937-06-05
1937 x 15,Porky's Building,1937-06-19
1937 x 16,Streamlined Greta Green,1937-06-19
1937 x 17,Sweet Sioux,1937-06-26
1937 x 18,Porky's Super Service,1937-07-03
1937 x 19,Egghead Rides Again,1937-07-17
1937 x 20,Porky's Badtime Story,1937-07-24
1937 x 21,Plenty of Money and You,1937-07-31
1937 x 22,Porky's Railroad,1937-08-07
1937 x 23,A Sunbonnet Blue,1937-08-21
1937 x 24,Get Rich Quick Porky,1937-08-28
1937 x 25,Speaking of the Weather,1937-09-04
1937 x 26,Porky's Garden,1937-09-11
1937 x 27,Dog Daze,1937-09-18
1937 x 28,I Wanna Be a Sailor,1937-09-25
1937 x 29,Rover's Rival,1937-10-09
1937 x 30,The Lyin' Mouse,1937-10-16
1937 x 31,The Case of the Stuttering Pig,1937-10-30
1937 x 32,Little Red Walking Hood,1937-11-06
1937 x 33,Porky's Double Trouble,1937-11-13
1937 x 34,The Woods Are Full of Cuckoos,1937-12-04
1937 x 35,Porky's Hero Agency,1937-12-04
1937 x 36,September in the Rain,1937-12-18
1938 x 1,Daffy Duck & Egghead,1938-01-01
1938 x 2,Porky's Poppa,1938-01-15
1938 x 3,My Little Buckeroo,1938-01-29
1938 x 4,Porky at the Crocadero,1938-02-05
1938 x 5,Jungle Jitters,1938-02-19
1938 x 6,What Price Porky,1938-02-26
1938 x 7,The Sneezing Weasel,1938-03-12
1938 x 8,Porky's Phoney Express,1938-03-19
1938 x 9,A Star Is Hatched,1938-04-02
1938 x 10,Porky's Five & Ten,1938-04-16
1938 x 11,The Penguin Parade,1938-04-23
1938 x 12,Porky's Hare Hunt,1938-04-30
1938 x 13,Now That Summer Is Gone,1938-05-14
1938 x 14,Injun Trouble,1938-05-21
1938 x 15,The Isle of Pingo Pongo,1938-05-28
1938 x 16,Porky the Fireman,1938-06-04
1938 x 17,Katnip Kollege,1938-06-11
1938 x 18,Porky's Party,1938-06-25
1938 x 19,Have You Got Any Castles?,1938-06-25
1938 x 20,Love and Curses,1938-07-09
1938 x 21,Cinderella Meets Fella,1938-07-23
1938 x 22,Porky's Spring Planting,1938-07-25
1938 x 23,Porky & Daffy,1938-08-06
1938 x 24,The Major Lied 'Til Dawn,1938-08-13
1938 x 25,Wholly Smoke,1938-08-27
1938 x 26,A-Lad-In Bagdad,1938-08-27
1938 x 27,Cracked Ice,1938-09-10
1938 x 28,A Feud There Was,1938-09-24
1938 x 29,Porky in Wackyland,1938-09-24
1938 x 30,Little Pancho Vanilla,1938-10-08
1938 x 31,Porky's Naughty Nephew,1938-10-15
1938 x 32,Johnny Smith and Poker-Huntas,1938-10-22
1938 x 33,Porky in Egypt,1938-11-05
1938 x 34,You're an Education,1938-11-05
1938 x 35,The Night Watchman,1938-11-19
1938 x 36,The Daffy Doc,1938-11-26
